doc_id,sentence_id,token_id,token,lemma,pos
text27,1,8,acquire,acquire,VERB
text27,1,10,technology,technology,NOUN
text27,1,11,oriented,orient,VERB
text27,1,12,information,information,NOUN
text28,1,1,Worst,bad,ADJ
text28,1,2,service,service,NOUN
text28,2,2,irritating,irritate,VERB
text28,2,4,calling,call,VERB
text28,2,10,reasons,reason,NOUN
text28,3,2,worst,bad,ADJ
text28,3,3,customer,customer,NOUN
text28,3,4,service,service,NOUN
text28,3,5,department,department,NOUN
text28,4,1,Rude,rude,VERB
text28,4,4,dumb,dumb,ADJ
text28,4,5,employees,employee,NOUN
text28,4,8,manners,manner,NOUN
text28,4,11,speak,speak,VERB
text28,4,14,customer,customer,NOUN
text28,5,2,banged,bang,VERB
text28,5,4,call,call,NOUN
text28,5,7,customer,customer,NOUN
text29,1,4,agriculture,agriculture,NOUN
text29,2,2,weather,weather,NOUN
text29,2,3,prediction,prediction,NOUN
text29,2,5,accurate,accurate,ADJ
text29,3,1,Crop,crop,NOUN
text29,3,2,advisory,advisory,NOUN
text29,3,3,service,service,NOUN
text30,1,6,uneducated,uneducated,ADJ
text31,1,3,jone,jone,VERB
text31,1,5,rs,rs,NOUN
text31,1,7,bmFg,bmfg,NOUN
text31,1,8,👈,👈,ADJ
text31,2,1,Oup,oup,NOUN
text31,2,2,game,game,NOUN
text31,3,6,Cool,cool,ADJ
text31,3,7,level,level,NOUN
text31,3,8,game,game,NOUN
text31,4,4,level,level,NOUN
text31,5,3,annoying,annoying,ADJ
text31,5,7,game,game,NOUN
text31,5,11,rest,rest,NOUN
text31,5,12,team,team,NOUN
text31,5,17,weapons,weapon,NOUN
text31,5,20,left,left,ADJ
text31,5,21,team,team,NOUN
text31,6,6,feedback,feedback,NOUN
text31,6,10,game,game,NOUN
text31,6,12,freezes,freeze,VERB
text31,6,17,games,game,NOUN
text31,6,19,play,play,VERB
text31,7,2,lost,lose,VERB
text31,7,4,lot,lot,NOUN
text31,7,10,issue,issue,NOUN
text31,7,17,wrong,wrong,ADJ
text31,7,20,internet,internet,NOUN
text31,7,21,connection,connection,NOUN
text32,1,1,Great,great,ADJ
text32,1,4,agriculture,agriculture,NOUN
text32,1,6,crop,crop,NOUN
text32,1,7,advisory,advisory,NOUN
text32,2,1,Best,good,ADJ
text33,2,1,Thanks,thank,NOUN
text33,2,3,agri,agri,NOUN
text33,3,3,excellent,excellent,ADJ
text33,3,7,helpfull,helpfull,NOUN
text34,2,1,Best,good,ADJ
text34,2,2,agriculture,agriculture,NOUN
text34,3,1,Weather,weather,NOUN
text34,3,2,prediction,prediction,NOUN
text34,3,4,accurate,accurate,ADJ
text35,1,2,information,information,NOUN
text35,1,5,support,support,NOUN
text35,1,6,system,system,NOUN
text36,1,1,Helpfull,helpfull,NOUN
text36,1,6,organic,organic,ADJ
text37,1,9,agriculture,agriculture,NOUN
text38,1,1,Bharat,bharat,ADJ
text38,1,2,agri,agri,ADJ
text38,1,4,usefull,usefull,NOUN
text38,2,5,wheather,wheath,ADJ
text38,2,6,information,information,NOUN
text38,3,2,crops,crop,NOUN
text38,3,3,informatios,informatio,VERB
text38,3,6,pest,pest,NOUN
text38,3,8,diseases,disease,VERB
text38,3,9,pictures,picture,NOUN
text38,3,11,solutions,solution,NOUN
text39,1,1,Nice,nice,ADJ
text39,1,4,excellent,excellent,ADJ
text39,1,5,service,service,NOUN
text40,1,2,मंडी,मंडी,NOUN
text40,1,3,भाव,भाव,NOUN
text41,1,1,Nice,nice,ADJ
text41,1,2,information,information,NOUN
text41,2,1,Crop,crop,NOUN
text41,2,2,information,information,NOUN
text42,1,9,proper,proper,ADJ
text42,1,10,information,information,NOUN
text42,1,12,crop,crop,NOUN
text42,3,3,recommend,recommend,VERB
text43,1,1,satisfied,satisfied,ADJ
text43,1,4,agriculture,agriculture,NOUN
text43,2,2,service,service,NOUN
text44,1,1,Awesome,awesome,ADJ
text44,1,2,information,information,NOUN
text44,2,2,Learn,learn,VERB
text45,1,1,Best,good,ADJ
text45,1,2,crop,crop,NOUN
text45,1,3,management,management,NOUN
text45,1,4,practice,practice,NOUN
text45,1,7,advisor,advisor,NOUN
text45,2,1,Best,good,ADJ
text45,3,1,Update,update,NOUN
text45,3,3,knowledge,knowledge,NOUN
text46,1,1,Great,great,ADJ
text46,2,2,nice,nice,ADJ
text47,1,1,Best,good,ADJ
text47,1,2,respond,respond,NOUN
text47,1,3,delivery,delivery,NOUN
text47,1,4,issue,issue,NOUN
text48,1,6,helpfull,helpfull,ADJ
text48,1,7,formers,former,NOUN
text48,1,11,'s,be,VERB
text48,1,12,amazing,amazing,ADJ
text48,1,13,contents,content,NOUN
text49,1,9,personalized,personalize,VERB
text49,1,10,crop,crop,NOUN
text49,1,11,schedule,schedule,NOUN
text49,1,13,superb,superb,ADJ
text49,1,18,provide,provide,VERB
text49,1,19,budget,budget,NOUN
text49,1,20,friendly,friendly,ADJ
text49,1,21,product,product,NOUN
text49,2,1,satellite,satellite,NOUN
text49,2,2,mapping,mapping,NOUN
text50,1,1,Excellent,excellent,ADJ
text50,1,5,body,body,NOUN
text51,1,9,newcomer,newcomer,NOUN
text51,1,14,Nice,nice,ADJ
text52,1,3,download,download,ADJ
text52,1,11,Excutive,excutive,ADJ
text52,1,12,lots,lot,NOUN
text52,1,14,forced,force,VERB
text52,1,17,taking,take,VERB
text52,1,18,membership,membership,NOUN
text53,1,8,Indian,indian,ADJ
text53,2,1,Great,great,ADJ
text53,2,2,design,design,NOUN
text53,3,1,Crop,crop,NOUN
text53,3,2,information,information,NOUN
text54,1,1,Best,good,ADJ
text54,1,8,helpful,helpful,ADJ
text55,1,3,आणि,आणि,ADJ
text55,2,2,nice,nice,ADJ
text55,2,5,smart,smart,ADJ
text56,1,1,special,special,ADJ
text56,1,2,features,feature,NOUN
text56,1,4,weather,weather,NOUN
text56,1,5,forcasting,forcaste,VERB
text57,2,1,Best,good,ADJ
text57,2,2,agriculture,agriculture,NOUN
text58,1,5,market,market,NOUN
text58,1,6,price,price,NOUN
text58,1,10,option,option,NOUN
text59,1,2,agri,agri,NOUN
text59,1,8,helping,help,VERB
text59,1,12,technologies,technology,NOUN
text59,1,14,increase,increase,VERB
text59,1,16,income,income,NOUN
text59,2,1,Best,good,ADJ
text59,2,8,complete,complete,ADJ
text59,2,9,guidance,guidance,NOUN
text59,2,13,crop,crop,NOUN
text59,2,14,calendar,calendar,NOUN
text59,2,17,complete,complete,ADJ
text59,2,19,information,information,NOUN
text60,1,1,Nice,nice,ADJ
text60,1,7,super,super,ADJ
text61,1,1,Great,great,ADJ
text61,1,4,agriculture,agriculture,NOUN
text61,1,6,crop,crop,NOUN
text61,1,7,advisory,advisory,NOUN
text61,2,1,Best,good,ADJ
text62,1,1,Excellent,excellent,ADJ
text62,2,7,refer,refer,VERB
text63,1,3,guidlines,guidline,NOUN
text63,1,4,giving,give,VERB
text64,2,4,crop,crop,NOUN
text64,2,5,information,information,NOUN
text65,1,1,Best,good,ADJ
text65,1,7,easy,easy,ADJ
text65,1,10,nice,nice,ADJ
text65,1,11,nice,nice,ADJ
text66,1,7,indian,indian,ADJ
text66,1,8,formers,former,NOUN
text66,1,11,helpful,helpful,ADJ
text66,1,13,agriculture,agriculture,NOUN
text67,1,1,Bharat,bharat,ADJ
text67,1,2,agri,agri,ADJ
text67,2,1,Accurate,accurate,ADJ
text67,2,2,wheather,wheather,NOUN
text67,2,3,information,information,NOUN
text67,3,2,crops,crop,VERB
text67,3,3,information,information,NOUN
text67,3,5,guide,guide,NOUN
text67,3,6,line,line,NOUN
text67,4,1,Thanks,thank,NOUN
text67,4,7,yaa,yaa,NOUN
text69,1,1,Great,great,ADJ
text69,2,5,application,application,NOUN
text69,3,4,detailed,detailed,ADJ
text69,3,5,information,information,NOUN
text69,3,7,tips,tip,NOUN
text69,3,9,ideas,idea,NOUN
text70,1,2,platform,platform,NOUN
text71,1,2,nice,nice,ADJ
text71,2,2,agricultural,agricultural,ADJ
text71,2,3,information,information,NOUN
text71,2,7,lot,lot,NOUN
text71,2,9,knowledge,knowledge,NOUN
text71,2,14,helpful,helpful,ADJ
text71,2,16,improving,improve,VERB
text71,2,17,yield,yield,NOUN
text72,1,5,nice,nice,ADJ
text72,1,10,person,person,NOUN
text73,1,2,nice,nice,ADJ
text73,2,2,agriculture,agriculture,NOUN
text73,2,3,information,information,NOUN
text74,1,13,world,world,NOUN
text75,1,1,Nice,nice,ADJ
text75,1,6,nice,nice,ADJ
text75,1,9,beautiful,beautiful,ADJ
text75,1,10,details,detail,NOUN
text76,1,1,🥰,🥰,VERB
text76,1,2,Nice,nice,ADJ
text76,1,3,information,information,NOUN
text76,1,5,crops,crop,NOUN
text76,1,8,enjoyed,enjoy,VERB
text77,1,2,agriculture,agriculture,NOUN
text77,2,1,Crop,crop,NOUN
text77,2,2,support,support,NOUN
text78,1,4,excellent,excellent,ADJ
text79,1,7,agriculture,agriculture,NOUN
text79,2,2,bddl,bddl,ADJ
text79,2,5,aahe,aahe,NOUN
text80,1,11,Z,z,NOUN
text80,1,12,details,detail,NOUN
text80,1,14,mentioned,mention,VERB
text80,1,22,disadvantage,disadvantage,NOUN
text80,1,24,chat,chat,ADJ
text80,1,26,expert,expert,NOUN
text80,1,28,slow,slow,ADJ
text80,1,32,slove,slove,VERB
text80,1,45,life,life,NOUN
text81,1,2,agri,agri,NOUN
text81,1,8,solved,solve,VERB
text81,1,10,crop,crop,NOUN
text81,1,11,related,relate,VERB
text81,2,3,Best,good,ADJ
text81,3,1,Thanks,thank,NOUN
text81,3,3,agri,agri,NOUN
text82,1,3,bharat,bharat,NOUN
text82,1,4,agri,agri,NOUN
text83,1,1,Nice,nice,ADJ
text83,1,2,application,application,NOUN
text83,2,3,kisan,kisan,NOUN
text83,2,4,nice,nice,ADJ
text83,2,8,service,service,NOUN
text83,3,4,agri,agri,NOUN
text83,3,5,nice,nice,ADJ
text84,1,6,informative,informative,ADJ
text84,2,9,crop,crop,NOUN
text85,1,1,Use,use,VERB
text85,1,3,ref,ref,ADJ
text85,1,4,cod,cod,NOUN
text85,1,6,nsjg,nsjg,NOUN
text85,1,9,download,download,VERB
text85,2,10,agree,agree,VERB
text85,2,11,students,student,NOUN
text86,1,3,helpful,helpful,ADJ
text87,1,2,bad,bad,ADJ
text87,1,4,fake,fake,ADJ
text87,1,9,install,install,VERB
